name,1,2,3,4,5,6,7,8,9,10,11,beforeGold Coast,beforeMargaret River,beforeBells Beach,beforeRio Pro,beforeFiji,beforeJ-Bay Open,beforeTahiti,beforeTrestles,beforeFrance,beforePeniche Pro,beforePipe Masters,endOfSeason
Adrian Buchan,500,1750,1750,8000,500,500,4000,6500,1750,1750,1750,0,500,2250,4000,12000,12500,13000,17000,23500,25250,27000,27750
Adriano de Souza,4000,5200,5200,10000,1750,1750,1750,5200,1750,1750,1750,0,4000,9200,14400,24400,26150,27900,29650,34850,36600,38350,26600
Aritz Aranburu,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500
Bede Durbidge,500,1750,1750,1750,5200,1750,1750,4000,1750,500,500,0,500,2250,4000,5750,10950,12700,14450,18450,20200,20700,20200
Benji Brand,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500
Bino Lopes,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,500,1000,1000,1000,1000,1000,1000,1000
Caio Ibelli,1750,1750,8000,1750,500,1750,500,500,4000,1750,4000,0,1750,3500,11500,13250,13750,15500,16000,16500,20500,22250,25250
Conner Coffin,4000,4000,500,500,500,4000,4000,1750,500,1750,4000,0,4000,8000,8500,9000,9500,13500,17500,19250,19750,21500,24500
Connor O'Leary,5200,1750,1750,1750,8000,1750,4000,500,500,4000,1750,0,5200,6950,8700,10450,18450,20200,24200,24700,25200,29200,29950
Dale Staples,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500
Dusty Payne,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500
Ethan Ewing,500,500,500,500,500,500,1750,1750,1750,1750,1750,0,500,1000,1500,2000,2500,3000,4750,6500,8250,10000,10750
Evan Geiselman,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,1750,1750,1750,1750
Ezekiel Lau,1750,500,6500,500,500,1750,500,1750,500,500,1750,0,1750,2250,8750,9250,9750,11500,12000,13750,14250,14750,15500
Filipe Toledo,500,6500,5200,1750,0,10000,500,10000,500,500,500,0,500,7000,12200,13950,13950,23950,24450,34450,34950,35450,35450
Frederico Morais,1750,500,5200,1750,1750,8000,500,5200,1750,4000,500,0,1750,2250,7450,9200,10950,18950,19450,24650,26400,30400,29900
Gabriel Medina,6500,500,1750,4000,1750,6500,8000,1750,10000,10000,5200,0,6500,7000,8750,12750,14500,21000,29000,30750,40750,50750,53700
Glyndyn Ringrose,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500,500,500
Hiroto Ohhara,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,1750,1750,1750,1750
Ian Gouveia,1750,1750,500,1750,4000,500,1750,500,1750,500,6500,0,1750,3500,4000,5750,9750,10250,12000,12500,14250,14750,20250
Italo Ferreira,5200,500,500,500,4000,1750,1750,1750,500,1750,5200,0,5200,5700,6200,6700,10700,12450,14200,15950,16450,18200,22400
Jack Freestone,500,6500,500,500,500,1750,500,500,500,1750,500,0,500,7000,7500,8000,8500,10250,10750,11250,11750,13500,1300
Jacob Willcox,0,1750,0,0,0,0,0,0,0,0,0,0,0,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
Jadson Andre,1750,500,500,1750,500,1750,500,4000,500,500,500,0,1750,2250,2750,4500,5000,6750,7250,11250,11750,12250,11750
Jeremy Flores,1750,4000,1750,1750,1750,1750,1750,5200,1750,500,10000,0,1750,5750,7500,9250,11000,12750,14500,19700,21450,21950,29700
Jesse Mendes,0,1750,0,500,0,0,0,0,0,0,0,0,0,1750,1750,2250,2250,2250,2250,2250,2250,2250,2250
Joan Duru,500,500,1750,500,5200,4000,5200,1750,4000,500,500,0,500,1000,2750,3250,8450,12450,17650,19400,23400,23900,23400
Joel Parkinson,5200,1750,4000,5200,6500,1750,1750,500,5200,1750,5200,0,5200,6950,10950,16150,22650,24400,26150,26650,31850,33600,36550
John John Florence,6500,10000,6500,1750,1750,5200,5200,6500,6500,5200,8000,0,6500,16500,23000,24750,26500,31700,36900,43400,49900,55100,59600
Jordy Smith,4000,5200,10000,5200,1750,5200,6500,8000,1750,1750,1750,0,4000,9200,19200,24400,26150,31350,37850,45850,47600,49350,47600
Josh Kerr,500,500,500,1750,500,500,500,1750,500,4000,1750,0,500,1000,1500,3250,3750,4250,4750,6500,7000,11000,11750
Julian Wilson,1750,4000,1750,4000,5200,6500,10000,4000,500,8000,5200,0,1750,5750,7500,11500,16700,23200,33200,37200,37700,45700,48650
Kanoa Igarashi,500,1750,500,4000,500,500,1750,5200,500,6500,6500,0,500,2250,2750,6750,7250,7750,9500,14700,15200,21700,27200
Keanu Asing,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500
Kelly Slater,5200,1750,1750,500,1750,1750,500,500,500,500,4000,0,5200,6950,8700,9200,10950,12700,13200,13700,14200,14700,17700
Kolohe Andino,4000,8000,1750,500,1750,500,6500,500,6500,6500,1750,0,4000,12000,13750,14250,16000,16500,23000,23500,30000,36500,37250
Leonardo Fioravanti,500,500,500,500,5200,1750,500,500,1750,4000,4000,0,500,1000,1500,2000,7200,8950,9450,9950,11700,15700,18700
Marc Lacomare,0,0,0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,5200,5200,5200
Mason Ho,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500
Matt Wilkinson,8000,500,1750,6500,10000,5200,4000,500,1750,1750,1750,0,8000,8500,10250,16750,26750,31950,35950,36450,38200,39950,40700
Michael February,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500
Michel Bourez,500,5200,1750,500,6500,4000,1750,500,1750,1750,1750,0,500,5700,7450,7950,14450,18450,20200,20700,22450,24200,24950
Mick Fanning,1750,500,5200,5200,1750,5200,1750,1750,5200,5200,1750,0,1750,2250,7450,12650,14400,19600,21350,23100,28300,33500,33000
Miguel Pupo,1750,1750,500,500,1750,500,500,1750,5200,5200,1750,0,1750,3500,4000,4500,6250,6750,7250,9000,14200,19400,20150
Mikey Wright,1750,0,0,0,0,0,0,0,0,0,0,0,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
Nat Young,500,1750,1750,1750,500,0,1750,500,4000,500,0,0,500,2250,4000,5750,6250,6250,8000,8500,12500,13000,13000
Owen Wright,10000,5200,4000,5200,1750,4000,5200,500,4000,500,500,0,10000,15200,19200,24400,26150,30150,35350,35850,39850,40350,39850
Samuel Pupo,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500,500,500
Sebastian Zietz,1750,4000,4000,1750,4000,500,1750,4000,8000,5200,500,0,1750,5750,9750,11500,15500,16000,17750,21750,29750,34950,34450
Stuart Kennedy,1750,500,500,500,4000,500,500,500,1750,500,500,0,1750,2250,2750,3250,7250,7750,8250,8750,10500,11000,10500
Taumata Puhetini,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500
Tevita Gukilau,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500
Vasco Ribeiro,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,1750,1750
Wiggolly Dantas,500,500,4000,4000,1750,500,5200,1750,500,500,500,0,500,1000,5000,9000,10750,11250,16450,18200,18700,19200,18700
Yago Dora,0,0,6500,500,0,0,0,0,0,0,0,0,0,0,6500,7000,7000,7000,7000,7000,7000,7000,7000
